,season_number,season_start,season_end,episode_number,pitch_number,original_air_date,startup_name,industry,business_description,pitchers_gender,pitchers_city,pitchers_state,pitchers_average_age,entrepreneur_names,company_website,multiple_entrepreneurs,us_viewership,original_ask_amount,original_offered_equity,valuation_requested,got_deal,total_deal_amount,total_deal_equity,deal_valuation,number_of_sharks_in_deal,investment_amount_per_shark,equity_per_shark,royalty_deal,loan,barbara_investment_amount,barbara_investment_equity,mark_investment_amount,mark_investment_equity,lori_investment_amount,lori_investment_equity,robert_investment_amount,robert_investment_equity,daymond_investment_amount,daymond_investment_equity,kevin_investment_amount,kevin_investment_equity,guest_investment_amount,guest_investment_equity,barbara_present,mark_present,lori_present,robert_present,daymond_present,kevin_present,kevin_h_present,guest_name,notes
895,11,29-Sep-19,15-May-20,1,896,29-Sep-19,Blueland,Lifestyle/Home,Blueland - ,Mixed Team,,,,,,,,270000,2.0,13500000,1,270000.0,3.0,9000000.0,1.0,270000.0,3.0,1.0,,,,,,,,,,,,270000.0,3.0,,,,,,,,,,No Guest,N/A
896,11,29-Sep-19,15-May-20,1,897,29-Sep-19,TaDah!Foods,Food and Beverage,TaDah! Foods - ,Male,,,,,,,,300000,10.0,3000000,1,500000.0,25.0,2000000.0,1.0,500000.0,25.0,,,,,,,,,,,,,,,500000.0,25.0,,,,,,,,No Guest,N/A
897,11,29-Sep-19,15-May-20,1,898,29-Sep-19,Minuscal,Health/Wellness,Minuscal - ,Male,,,,,,,,500000,20.0,2500000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
898,11,29-Sep-19,15-May-20,1,899,29-Sep-19,BabyToon,Children/Education,BabyToon - ,Female,,,,,,,,50000,50.0,100000,1,50000.0,50.0,100000.0,1.0,50000.0,50.0,1.0,,,,,,50000.0,50.0,,,,,,,,,,,,,,,,No Guest,N/A
899,11,29-Sep-19,15-May-20,2,900,,BoostOxygen,Health/Wellness,Boost Oxygen - ,Male,,,,,,,,1000000,5.0,20000000,1,1000000.0,6.25,16000000.0,1.0,1000000.0,6.25,,1.0,,,,,,,,,,,1000000.0,6.25,,,,,,,,,,No Guest,N/A
900,11,29-Sep-19,15-May-20,2,901,,AtlasMonroe,Food and Beverage,Atlas Monroe - ,Mixed Team,,,,,,,,500000,10.0,5000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
901,11,29-Sep-19,15-May-20,2,902,,CircadianOptics,Health/Wellness,Circadian Optics - ,Female,,,,,,,,750000,10.0,7500000,1,750000.0,20.0,3750000.0,2.0,375000.0,10.0,,,,,375000.0,10.0,375000.0,10.0,,,,,,,,,,,,,,,,No Guest,N/A
902,11,29-Sep-19,15-May-20,2,903,,FaceYogaWithKoko,Health/Wellness,Face Yoga With Koko - ,Female,,,,,,,,200000,20.0,1000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
903,11,29-Sep-19,15-May-20,3,904,13-Oct-19,Eterneva,Business Services,Eterneva - converting ashes into diamonds,Mixed Team,,,Middle,Adelle Archer and Garret Ozar,,1.0,,600000,5.0,12000000,1,600000.0,9.0,10000000.0,1.0,600000.0,9.0,,,,,600000.0,9.0,,,,,,,,,,,,,,,,,,No Guest,N/A
904,11,29-Sep-19,15-May-20,3,905,13-Oct-19,Aira,Software/Tech,Aira - ,Male,,,,,,,,500000,7.0,7142857,1,500000.0,15.0,3333333.0,3.0,166666.6667,5.0,,,,,,,166666.6667,5.0,166666.6667,5.0,,,166666.6667,5.0,,,,,,,,,,No Guest,N/A
905,11,29-Sep-19,15-May-20,3,906,13-Oct-19,Baobab,Fashion/Beauty,Baobab - ,Male,,,,,,,,150000,10.0,1500000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
906,11,29-Sep-19,15-May-20,3,907,13-Oct-19,SquidSocks,Children/Education,Squid Socks - ,Mixed Team,,,,,,,,125000,20.0,625000,1,125000.0,33.0,378788.0,1.0,125000.0,33.0,,,,,,,,,,,125000.0,33.0,,,,,,,,,,,,No Guest,N/A
907,11,29-Sep-19,15-May-20,4,908,,Snacklins,Food and Beverage,Snacklins - ,Male,,,,,,,,250000,2.5,10000000,1,250000.0,5.0,5000000.0,1.0,250000.0,5.0,,,,,250000.0,5.0,,,,,,,,,,,,,,,,,,No Guest,N/A
908,11,29-Sep-19,15-May-20,4,909,,BugBiteThing,Health/Wellness,Bug Bite Thing - ,Female,,,,,,,,150000,10.0,1500000,1,150000.0,10.0,1500000.0,1.0,150000.0,10.0,,,,,,,150000.0,10.0,,,,,,,,,,,,,,,,No Guest,N/A
909,11,29-Sep-19,15-May-20,4,910,,PlopStar,Lifestyle/Home,Plop Star - ,Male,,,,,,,,150000,10.0,1500000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
910,11,29-Sep-19,15-May-20,4,911,,KnifeAid,Business Services,Knife Aid - ,Male,,,,,,,,400000,15.0,2666667,1,500000.0,20.0,2500000.0,2.0,250000.0,10.0,,,,,,,250000.0,10.0,,,,,,,250000.0,10.0,,,,,,,,No Guest,N/A
911,11,29-Sep-19,15-May-20,5,912,,Golfkicks,Fashion/Beauty,Golfkicks - ,Male,,,,,,,,300000,8.0,3750000,1,300000.0,13.0,2307692.0,1.0,300000.0,13.0,,,,,300000.0,13.0,,,,,,,,,,,,,,,,,,No Guest,N/A
912,11,29-Sep-19,15-May-20,5,913,,Myostorm,Health/Wellness,Myostorm - ,Male,,,,,,,,150000,10.0,1500000,1,150000.0,5.0,3000000.0,1.0,150000.0,5.0,1.0,,,,,,150000.0,5.0,,,,,,,,,,,,,,,,No Guest,N/A
913,11,29-Sep-19,15-May-20,5,914,,TailgateNGo,Fitness/Sports/Outdoors,Tailgate N Go - ,Mixed Team,,,,,,,,250000,10.0,2500000,1,250000.0,20.0,1250000.0,1.0,250000.0,20.0,1.0,,,,,,,,,,,,,,250000.0,20.0,,,,,,,,No Guest,N/A
914,11,29-Sep-19,15-May-20,5,915,,NerditNow,Business Services,Nerdit Now - ,Male,,,,,,,,150000,20.0,750000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
915,11,29-Sep-19,15-May-20,6,916,,EZCPak,Health/Wellness,EZC Pak - ,Male,,,,,,,,125000,5.0,2500000,1,125000.0,5.0,2500000.0,1.0,125000.0,5.0,1.0,,,,,,,,,,,,125000.0,5.0,,,,,,,,,,No Guest,N/A
916,11,29-Sep-19,15-May-20,6,917,,PiliHunters,Food and Beverage,Pili Hunters - ,Male,,,,,,,,325000,10.0,3250000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
917,11,29-Sep-19,15-May-20,6,918,,Supply,Lifestyle/Home,Supply - ,Male,,,,,,,,300000,10.0,3000000,1,300000.0,15.0,2000000.0,1.0,300000.0,15.0,,,,,,,,,300000.0,15.0,,,,,,,,,,,,,,No Guest,N/A
918,11,29-Sep-19,15-May-20,6,919,,TheMeasuringShovel,Lifestyle/Home,The Measuring Shovel - ,Mixed Team,,,,,,,,40000,15.0,266667,1,40000.0,30.0,133333.0,2.0,20000.0,15.0,,,,,,,20000.0,15.0,,,,,20000.0,15.0,,,,,,,,,,No Guest,N/A
919,11,29-Sep-19,15-May-20,7,920,,TheYardMilkshakeBar,Food and Beverage,The Yard Milkshake Bar - ,Mixed Team,,,,,,,,400000,10.0,4000000,1,400000.0,22.0,1818182.0,1.0,400000.0,22.0,,,,,400000.0,22.0,,,,,,,,,,,,,,,,,,No Guest,N/A
920,11,29-Sep-19,15-May-20,7,921,,Baubles+Soles,Fashion/Beauty,Baubles + Soles - ,Mixed Team,,,,,,,,150000,15.0,1000000,1,150000.0,25.0,600000.0,1.0,150000.0,25.0,,,,,,,,,,,150000.0,25.0,,,,,,,,,,,,No Guest,N/A
